iter	Passed	Remaining
0	207	41273
1	263	26103
2	315	20695
3	356	17463
4	397	15491
5	441	14279
6	482	13303
7	524	12578
8	567	12042
9	607	11534
10	649	11151
11	691	10833
12	741	10662
13	787	10462
14	827	10205
15	874	10056
16	925	9963
17	981	9922
18	1035	9866
19	1080	9723
20	1127	9608
21	1174	9502
22	1219	9386
23	1260	9245
24	1298	9088
25	1342	8986
26	1398	8962
27	1446	8886
28	1498	8838
29	1553	8803
30	1596	8703
31	1641	8617
32	1691	8561
33	1737	8483
34	1795	8466
35	1845	8406
36	1891	8333
37	1931	8233
38	1968	8126
39	2017	8069
40	2056	7977
41	2092	7870
42	2134	7792
43	2180	7729
44	2227	7670
45	2269	7597
46	2320	7552
47	2366	7493
48	2411	7432
49	2462	7388
50	2509	7332
51	2551	7263
52	2592	7190
53	2633	7121
54	2678	7061
55	2727	7013
56	2771	6951
57	2816	6894
58	2861	6838
59	2905	6779
60	2950	6722
61	2995	6668
62	3039	6609
63	3082	6549
64	3120	6481
65	3166	6428
66	3208	6369
67	3256	6321
68	3297	6261
69	3343	6209
70	3391	6161
71	3433	6104
72	3475	6045
73	3519	5992
74	3565	5942
75	3608	5887
76	3653	5836
77	3695	5780
78	3744	5734
79	3784	5677
80	3833	5632
81	3881	5584
82	3923	5530
83	3966	5477
84	4005	5419
85	4045	5362
86	4084	5304
87	4128	5253
88	4171	5203
89	4216	5153
90	4260	5103
91	4304	5053
92	4348	5002
93	4392	4952
94	4433	4900
95	4478	4851
96	4525	4805
97	4570	4757
98	4616	4710
99	4661	4661
100	4702	4609
101	4749	4562
102	4794	4515
103	4839	4466
104	4887	4421
105	4932	4374
106	4976	4325
107	5020	4276
108	5064	4227
109	5107	4178
110	5148	4128
111	5185	4074
112	5222	4020
113	5261	3968
114	5302	3919
115	5346	3871
116	5384	3819
117	5421	3767
118	5464	3719
119	5502	3668
120	5534	3613
121	5579	3567
122	5619	3518
123	5668	3474
124	5715	3429
125	5759	3382
126	5805	3337
127	5848	3290
128	5892	3243
129	5936	3196
130	5971	3145
131	6005	3093
132	6049	3047
133	6093	3001
134	6139	2956
135	6185	2910
136	6231	2865
137	6277	2820
138	6320	2773
139	6361	2726
140	6404	2679
141	6447	2633
142	6494	2588
143	6538	2542
144	6579	2495
145	6628	2451
146	6675	2406
147	6723	2362
148	6767	2316
149	6813	2271
150	6855	2224
151	6900	2179
152	6943	2132
153	6986	2087
154	7030	2041
155	7074	1995
156	7116	1949
157	7153	1901
158	7187	1853
159	7226	1806
160	7270	1761
161	7320	1717
162	7368	1672
163	7417	1628
164	7467	1583
165	7515	1539
166	7560	1494
167	7608	1449
168	7657	1404
169	7708	1360
170	7757	1315
171	7808	1271
172	7856	1226
173	7904	1181
174	7953	1136
175	8002	1091
176	8051	1046
177	8101	1001
178	8147	955
179	8195	910
180	8243	865
181	8292	820
182	8341	774
183	8389	729
184	8440	684
185	8489	639
186	8539	593
187	8588	548
188	8636	502
189	8688	457
190	8739	411
191	8787	366
192	8834	320
193	8877	274
194	8923	228
195	8968	183
196	9001	137
197	9035	91
198	9079	45
199	9124	0
