iter	Passed	Remaining
0	199	39661
1	258	25545
2	299	19639
3	333	16321
4	383	14951
5	423	13678
6	450	12409
7	478	11486
8	507	10763
9	532	10121
10	560	9637
11	586	9188
12	613	8823
13	640	8505
14	672	8299
15	709	8156
16	745	8030
17	781	7903
18	818	7792
19	849	7648
20	878	7484
21	906	7332
22	939	7229
23	967	7094
24	994	6958
25	1020	6830
26	1050	6731
27	1079	6630
28	1109	6541
29	1139	6459
30	1166	6357
31	1197	6286
32	1236	6256
33	1277	6235
34	1320	6225
35	1347	6138
36	1367	6026
37	1391	5931
38	1423	5875
39	1459	5836
40	1492	5787
41	1534	5772
42	1575	5751
43	1605	5692
44	1640	5651
45	1677	5616
46	1716	5586
47	1770	5605
48	1820	5609
49	1877	5632
50	1930	5640
51	1975	5622
52	2020	5604
53	2060	5572
54	2102	5541
55	2153	5537
56	2191	5497
57	2230	5459
58	2264	5411
59	2293	5351
60	2319	5284
61	2347	5224
62	2373	5161
63	2397	5094
64	2420	5026
65	2441	4957
66	2464	4891
67	2489	4833
68	2517	4779
69	2549	4734
70	2587	4700
71	2620	4658
72	2650	4610
73	2681	4565
74	2715	4525
75	2747	4483
76	2782	4444
77	2814	4402
78	2848	4362
79	2878	4317
80	2909	4274
81	2941	4232
82	2969	4185
83	2998	4140
84	3027	4096
85	3058	4053
86	3093	4017
87	3131	3985
88	3163	3945
89	3189	3897
90	3209	3844
91	3242	3806
92	3274	3767
93	3308	3730
94	3348	3700
95	3384	3667
96	3417	3628
97	3445	3586
98	3471	3541
99	3495	3495
100	3521	3452
101	3564	3424
102	3598	3389
103	3625	3346
104	3651	3303
105	3679	3262
106	3704	3220
107	3728	3175
108	3753	3133
109	3773	3087
110	3795	3043
111	3816	2998
112	3839	2955
113	3865	2915
114	3892	2876
115	3921	2839
116	3952	2804
117	3990	2773
118	4024	2739
119	4052	2701
120	4080	2663
121	4111	2628
122	4143	2593
123	4172	2557
124	4202	2521
125	4227	2483
126	4255	2446
127	4284	2410
128	4309	2371
129	4341	2337
130	4375	2304
131	4413	2273
132	4445	2239
133	4478	2206
134	4510	2171
135	4535	2134
136	4561	2097
137	4604	2068
138	4645	2038
139	4688	2009
140	4730	1979
141	4765	1946
142	4795	1911
143	4817	1873
144	4835	1834
145	4854	1795
146	4874	1757
147	4896	1720
148	4922	1684
149	4950	1650
150	4980	1616
151	5006	1581
152	5033	1546
153	5059	1511
154	5083	1475
155	5104	1439
156	5126	1404
157	5148	1368
158	5170	1333
159	5194	1298
160	5217	1263
161	5241	1229
162	5263	1194
163	5282	1159
164	5301	1124
165	5320	1089
166	5342	1055
167	5368	1022
168	5396	989
169	5425	957
170	5445	923
171	5468	890
172	5490	856
173	5516	824
174	5541	791
175	5567	759
176	5589	726
177	5614	693
178	5640	661
179	5670	630
180	5698	598
181	5726	566
182	5750	534
183	5774	502
184	5796	469
185	5820	438
186	5845	406
187	5872	374
188	5902	343
189	5930	312
190	5959	280
191	5986	249
192	6011	218
193	6033	186
194	6055	155
195	6080	124
196	6104	92
197	6131	61
198	6158	30
199	6190	0
